"numero";"descricao";"autorias";"links";"plataformas"
"001";"Divide a tela em 7 retângulos e os preenche de acordo com o valor em binário da contagem, 0 é prenchido de preto e 1 de branco.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"002";"Divide a tela em retângulos de acordo com número da contagem. Os retângulos são preenchidos em uma escala de cinza que se inicia com o branco e termina com o preto.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"003";"Cria uma forma a partir da fórmula da superelipse para cada número da contagem. Depois de desenhada a forma, linhas partem do centro até os pontos de extremidade.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"004";"Para cada número da contagem, cria um arco com mesmo ângulo de abertura e com raios proporcionais ao valor da contagem formando uma espiral.";"Guilherme Vieira";"guilhermevieira.info";"NodeBox 3"
"005";"Empilha caixas aleatoriamente, dez de cada vez, em dez caixotes que também são empilhados aleatoriamente.";"John Cartan";"instagram.com/john.cartan";"NodeBox 3"
"006";"A cada ciclo, cria uma matriz com número equivalente de pontos (com coordenadas distribuídas aleatoriamente pelo plano) e desenha um polígono sem intersecções utilizando a matriz.";"Vitor Carvalho";"vitorcarvalho.com";"DrawBot"
"007";"Cria retângulos com posições e ângulos gerados aleatoriamente que se sobrepõem preenchendo a imagem.";"Marina Cardoso";"instagram.com/mrncrds";"p5.js"
"008";"Este código simples gera um retângulo que gira sobre si mesmo quadro a quadro até chegar na contagem de 100.";"Eduardo Zmievski (a.k.a. CurlyBoy)";"instagram.com/curlyboy_____, openprocessing.org/user/89655#sketches";"p5.js"
"009";"A partir do eixo x, cria retângulos cuja altura e tonalidade de cinza são definidos a partir do ruído de Perlin.";"Thiago Correia";"instagram.com/thcorreiag";"Processing"
"010";"Um ábaco que conta até 100.";"Vitor Carvalho";"vitorcarvalho.com";"DrawBot"
"011";"Contador que utiliza o ruído de Perlin pra dividir uma rotação completa em 100 partes desiguais.";"André Burnier";"andreburnier.com, instagram.com/burnier";"Processing"
"012";"Contador que divide a altura da imagem pelo número contado – cada linha é sub-dividida pelo número da linha.";"André Burnier";"andreburnier.com, instagram.com/burnier";"Processing"
"013";"Aumenta a complexidade do desenho dos caracteres de diversas fontes com a variação de quantidade de pontos de 1 a 100.";"John Cartan";"instagram.com/john.cartan";"NodeBox 3"
"014";"Um feixe de linhas descreve a trajetória de uma circunferência em 100 passos.";"Fátima Finizola";"instagram.com/fafilete";"Nodebox 3"
"015";"Preenche o espaço da tela com elipses; cada elipse representa uma unidade e cada dezena ocupa uma linha. As linhas são coloridas em escala de cinza, atribuindo um tom diferente para cada dezena.";"Júnior Morimoto";"instagram.com/moorimoto";"Processing"
"016";"Cria uma matriz em que a quantidade de pontos de cada eixo corresponde ao número da contagem. Para cada ponto é atribuído um algarismo aleatório de 0 a 9.";"César Ganimi Machado";"cesarg.com.br";"NodeBox 3"
"017";"Cria um rabisco em formato espiral cuja quantidade de pontos vetoriais corresponde ao número da contagem.";"Monica Rizzolli";"contrast.parts";"Processing"
"018";"Quatro pontos são selecionados e conectados para formar um polígono. Cada ponto é selecionado aleatoriamente entre 25 possibilidades em cada um dos quatro lados da composição. A randomização produz, potencialmente, 100 polígonos diferentes.";"Henrique Eira";"henriqueeira.com, instagram.com/heeeira";"NodeBox 3"
"019";"O código cria um grid com 100 representações do coronavírus que são diminuídas e, uma a uma, eliminadas em ordem aleatória. Aos poucos, revela-se a mensagem de fundo: VACINA JÁ!";"Henrique Eira";"henriqueeira.com, instagram.com/heeeira";"NodeBox 3"
"020";"Imprime uma memória sobreposta dada pela trajetória de quatro elipses simétricas que aumentam de tamanho ao cruzar a área de trabalho.";"Luiz Jales";"luizjal.es";"Processing"
"021";"Pra esse projeto, resolvi replicar de forma imaginativa algum tipo de dispositivo obsoleto, onde só caracteres ASCII pudessem ser utilizados. A ideia aqui foi, de alguma forma, representar a transferência de dados.";"Advan Shumiski";"shumiski.com, instagram.com/shumiski";"Processing"
"022";"Retângulos com rotação, largura e altura recebendo o mesmo valor. A somatória de todos eles forma um caleidoscópio.";"Mandu";"mandu.tv";"NodeBox 3"
"023";"Treemaps mostrando o tamanho relativo de números variando de 1 a n, onde n varia de 1 a 100.";"John Cartan";"instagram.com/john.cartan";"NodeBox 3"
"024";"Uma mistura de dithering e ondas senoidais. Apesar da contagem de 1-100 ser a base que torna possível todos os movimentos contidos nessa proposta, coloco em jogo (como faço constantemente em meu trabalho) nossa percepção sobre o tempo. O trabalho conta de 1-100, mas seus limites são visíveis?";"Advan Shumiski";"shumiski.com, instagram.com/shumiski";"Processing"
"025";"Um quadrado se transforma em um círculo enquanto vaga aleatoriamente pelos espaços vagos da imagem, em 100 passos.";"Rodrigo Junqueira";"instagram.com/rodjunart";"p5.js"
"026";"Amassar e entortar um fio 100 vezes para formar o número 100.";"John Cartan";"instagram.com/john.cartan";"NodeBox 3"
"027";"Pegue uma imagem. Divida seus lados em n partes, formando n² quadrados, n indo de 1 a 100. A cada rodada, pegue n quadrados aleatoriamente e cole-os por cima da imagem em suas posições originais. Vá empilhando imagens, deixando as instâncias anteriores cada vez mais borradas, cada vez mais escuras.";"Caluã de Lacerda Pataca (Preface)";"caluapataca.com, preface.com.br";"p5.js"
"028";"Cada ponto vazado emite um feixe de 10 linhas. Cada ponto inteiro recebe um feixe de 10 linhas. 10 x 10. E uma estrela no final.";"Marlon Tenório";"instagram.com/codingp5";"p5.js"
"029";"Uma árvore tem dois ramos. Cada ramo é uma árvore. Quantos ramos eu posso contar? O programa progressivamente cria uma árvore binária com um nó para cada número contado.";"Tiago Fernandes Tavares";"instagram.com/tiagoft, twitter.com/tiagoft, github.com/tiagoft";"Processing"
"030";"Bolinhas vão preenchendo o espaço. A visualização usa um conjunto de 100 pontos gerados com Poisson Disc Sampling. O desenho desses pontos, de 1 a 100, dá pistas do funcionamento desse algoritmo.";"Felipe Turcheti";"felipeturcheti.com";"canvas-sketch"
"031";"Um traço caligráfico é feito ao passar por cem posições do mouse armazenadas.";"Mariana Leal";"marileal.github.io";"Processing"
"032";"Mostra sete vértices regularmente espaçados em um círculo (formando um heptágono) e em seguida os 99 polígonos convexos que podem ser desenhados com esses vértices, começando com triângulos e terminando com o próprio heptágono inicial.";"Alexandre B A Villares";"abav.lugaralgum.com";"Processing-Python"
"033";"Exibe de 1 a 100 estrelas visíveis no céu da cidade de São Paulo no dia 25/05/2021, às 19:30, de acordo com o site in-the-sky.org, desenhadas em ordem aleatória a partir do eixo leste. Esta contagem foi desenvolvida especialmente para o evento Noite de Processing sobre esse projeto.";"Guilherme Vieira";"guilhermevieira.info";"NodeBox 3"
"034";"A contagem é representada por barras verticais que vão crescendo dentro de um grid. Uma barra indica as unidades, outra as dezenas e a última, a centena. Inspirado no ""Grid Based Clock Screensaver"", de Michael C. Place e G. Delobel a partir do trabalho de Sleepatwork.";"Felipe Turcheti";"felipeturcheti.com";"canvas-sketch"
"035";"Indo de 1 a 100 por um caminho aleatório. A aleatoriedade é uma importante ferramenta para exploração e descoberta no desenvolvimento de arte generativa. Aqui essa ferramenta se torna a protagonista e o resultado é, na prática, uma espécie de debug art.";"Felipe Turcheti";"felipeturcheti.com";"canvas-sketch"
"036";"Contagem de 1 a 100 num sistema de numeração quaternário. Cada dígito é um triângulo retângulo de 250 x 250 pixels, e seu valor é baseado no ângulo de rotação (0° = 0, 90° = 1, 180° = 2 e 270° = 3).";"Vinícius Ladivez";"instagram.com/vladivez";"Processing"
